date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:14%20GMT	https://maxcoach.thememove.com/main/dancing	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/dancing	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:14%20GMT	https://maxcoach.thememove.com/main/guitar	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/guitar	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:15	37954/37954	---MCZ	200	added ('OK')	text/css	etag:W/%2260efa8e2-9442%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/css/post-780.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/css/post-780.css	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:16	106614/106614	---MCZ	200	added ('OK')	application/json	date:Sat,%2024%20Sep%202022%2005:13:16%20GMT	https://maxcoach.thememove.com/main/wp-json/wp/v2/pages/780	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-json/wp/v2/pages/780.json	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:17	6646/6646	---M--	200	added ('OK')	image/jpeg	etag:%225e69f3df-19f6%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/thumbs/about-us-01-ohkia3qg98rq9vg3s0mn2hkflr1migdqdw370qnegc.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/thumbs/about-us-01-ohkia3qg98rq9vg3s0mn2hkflr1migdqdw370qnegc.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:17	41013/41013	---M--	200	added ('OK')	image/jpeg	etag:%225e69f3df-a035%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/thumbs/stock-full-hd-10-ohki1ayywq3cqutettrncduujpoaorifqu4relt2ts.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/elementor/thumbs/stock-full-hd-10-ohki1ayywq3cqutettrncduujpoaorifqu4relt2ts.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:18	38986/38986	---M--	200	added ('OK')	image/jpeg	etag:%225de4d28f-984a%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/stock-full-hd-11-670x450.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/stock-full-hd-11-670x450.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:18	36058/36058	---M--	200	added ('OK')	image/jpeg	etag:%225fe95505-8cda%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-03-480x325.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-03-480x325.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:19	24245/24245	---M--	200	added ('OK')	image/jpeg	etag:%225fe95505-5eb5%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-02-480x325.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-02-480x325.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:19	33136/33136	---M--	200	added ('OK')	image/jpeg	etag:%225fe95506-8170%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-01-480x325.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-01-480x325.jpg	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:19%20GMT	https://maxcoach.thememove.com/main/maxcoach-education	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/maxcoach-education	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:19%20GMT	https://maxcoach.thememove.com/main/course-portal	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/course-portal	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	281500/281500	---M--	200	added ('OK')	image/png	etag:%225df04582-44b9c%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-3-team-image.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-3-team-image.png	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:20%20GMT	https://maxcoach.thememove.com/main/distant-learning	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/distant-learning	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	205669/205669	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:19%20GMT	https://maxcoach.thememove.com/main/how-stay-calm-from-the-first-time/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/how-stay-calm-from-the-first-time/index.html	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:20%20GMT	https://maxcoach.thememove.com/main/multimedia-pedagogy	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/multimedia-pedagogy	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:20%20GMT	https://maxcoach.thememove.com/main/modern-schooling	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/modern-schooling	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:21%20GMT	https://maxcoach.thememove.com/main/remote-training	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/remote-training	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:21%20GMT	https://maxcoach.thememove.com/main/health-coaching	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/health-coaching	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:22%20GMT	https://maxcoach.thememove.com/main/gym-coaching	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/gym-coaching	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:22%20GMT	https://maxcoach.thememove.com/main/business	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/business	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:22%20GMT	https://maxcoach.thememove.com/main/kitchen-coach	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/kitchen-coach	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:23%20GMT	https://maxcoach.thememove.com/main/artist	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/artist	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:23%20GMT	https://maxcoach.thememove.com/main/motivation	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/motivation	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:24%20GMT	https://maxcoach.thememove.com/main/yoga	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/yoga	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:24%20GMT	https://maxcoach.thememove.com/main/photography	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/photography	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:25%20GMT	https://maxcoach.thememove.com/main/personal-finance	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/personal-finance	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:25%20GMT	https://maxcoach.thememove.com/main/dancing	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/dancing	(from https://maxcoach.thememove.com/main/distant-learning/)
10:43:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:26%20GMT	https://maxcoach.thememove.com/main/guitar	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/guitar	(from https://maxcoach.thememove.com/main/distant-learning/)
